covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),comorbidity_outcome
hypertension,0.04472905085646311,1.0457444779487424,0.0693096453962832,-0.09111535790149433,0.18057345961442056,0.9129123931668425,1.1979041158228931,0.0,0.6453510272736405,0.5186997319766715,0.9470284706574338,neuropathy
obesity,0.10637410298204357,1.1122378901971626,0.07360567656369155,-0.0378903721404958,0.25063857810458295,0.9628184868355089,1.2848456290615256,0.0,1.445188848851858,0.14840484774171234,2.75238987557893,neuropathy
ckd,0.013729251545499092,1.0138239305137733,0.10336593009586455,-0.18886424867088028,0.21632275176187846,0.82789888744099,1.2415030116291312,0.0,0.13282182565151002,0.8943342929177188,0.16111389816868757,neuropathy
heart_failure,0.01258293315413776,1.0126624313477395,0.11354168363803457,-0.20995467752045074,0.23512054382872624,0.8106209844906321,1.2650612548693108,0.0,0.11082214699450421,0.9117573827657038,0.13327811835575654,neuropathy
hyperlipidemia,0.06784482899625122,1.070199231704963,0.07081882547987034,-0.07095751837172215,0.20664717636422458,0.9315014629859597,1.2295486814057275,0.0,0.9580055661264185,0.33805995181992754,1.5646489770084493,neuropathy
retinopathy,0.11365819409246944,1.1203691106489833,0.0988126739530042,-0.08001108807151788,0.30732747625645673,0.923106110863314,1.3597861928597477,0.0,1.15023902851294,0.2500454355248561,1.9997378253977995,neuropathy
depression,-0.09628057184116762,0.9082091624011365,0.10150823508095014,-0.29523305673405514,0.10267191305171991,0.7443580895839438,1.108127787165472,0.0,-0.9485001070542346,0.3428749183358195,1.5442457214274363,neuropathy
atrial_fibrillation,0.11482515715729377,1.1216773031778038,0.12128118428775705,-0.12288159604907514,0.3525319103636627,0.8843683690708373,1.4226650527835116,0.0,0.9467681061297569,0.3437569571459971,1.5405391829962725,neuropathy
sleep_apnea,-0.04479122433126594,0.9561970916827925,0.10375742369195656,-0.24815203789616375,0.15856958923363185,0.7802413080127644,1.1718334683808782,0.0,-0.4316917550328327,0.6659654606544758,0.5864807389641808,neuropathy
nafld,0.0024259398269293442,1.002428884799912,0.08020271703670374,-0.154768497027267,0.1596203766811257,0.8566134630940632,1.173065463449123,0.0,0.03024760153473534,0.975869585346246,0.035239735158323814,neuropathy
pvd,-0.021648978718536323,0.9785836784665445,0.14131116123339632,-0.2986137653495258,0.2553158079124531,0.7418458806933215,1.2908692232221144,0.0,-0.1532007700565126,0.8782399504241696,0.18731293190104825,neuropathy
stroke,-0.08598480493333623,0.9176081742315969,0.15030561911002321,-0.380578405062977,0.2086087951963046,0.6834659746825843,1.2319629544216726,0.0,-0.572066469919502,0.5672769438331323,0.8178748659808706,neuropathy
mi,0.059768223219792235,1.0615904660084734,0.1397452896816933,-0.21412751156544346,0.33366395800502796,0.8072454453293892,1.3960739252734164,0.0,0.427694009264499,0.6688739120186065,0.5801938177273478,neuropathy
drug_class_num,0.052875578054955893,1.0542984590933775,0.04763118921493004,-0.04047983734711964,0.14623099345703144,0.9603285270869546,1.1574635236739388,0.0,1.110104092013348,0.26695417412908884,1.905335987547212,retinopathy
age_at_index,-5.793637008730507e-05,0.9999420653081917,0.0028072431052776773,-0.005560031752279936,0.005444159012105326,0.9944553966169453,1.0054590053755401,0.0,-0.02063817343727141,0.983534288944445,0.02395274484640552,retinopathy
cci,-0.001630864754443418,0.9983704643828343,0.04006418825025185,-0.08015523079476984,0.076893501285883,0.9229730614239282,1.0799270594249604,0.0,-0.04070629721127986,0.9675300413097077,0.04762163799653582,retinopathy
hypertension,-0.0004355606591516246,0.9995645341836219,0.07608620212990647,-0.14956177655420305,0.1486906552358998,0.8610852414974742,1.160313996626142,0.0,-0.00572456827859493,0.9954324803000502,0.006604632924359985,retinopathy
obesity,0.05375115020931744,1.0552219777111393,0.08137648916238567,-0.1057438377372725,0.2132461381559074,0.8996550762411681,1.2376892563057322,0.0,0.660524320508074,0.5089174166242818,0.974496529535076,retinopathy
ckd,0.010384704526561393,1.0104388127075714,0.1050347290320739,-0.19547958150222708,0.21624899055534988,0.8224401363848328,1.241411440246334,0.0,0.09886924660309515,0.9212420868939571,0.1183477728076075,retinopathy
heart_failure,0.0469983952191943,1.048120327074923,0.12291165968975158,-0.19390403105276235,0.2879008214911509,0.8237369536436154,1.3336250306222477,0.0,0.38237540146984966,0.7021829334423655,0.510081162948499,retinopathy
hyperlipidemia,-0.016066087732463985,0.984062283461331,0.07836960806985852,-0.16966769703190626,0.1375355215669783,0.8439452155051295,1.1474424642025156,0.0,-0.20500405869253174,0.8375689539945952,0.25572012772386576,retinopathy
neuropathy,0.03114036600693682,1.0316302995498732,0.09289033766696551,-0.15092135033207998,0.21320208234595361,0.8599153280546467,1.2376347301041812,0.0,0.3352379460453962,0.7374455996755723,0.43939146718382144,retinopathy
depression,0.025254704372285563,1.02557630602973,0.10723060751725946,-0.18491342440189298,0.2354228331464641,0.8311762403173816,1.2654437271786763,0.0,0.23551768433486356,0.8138069547215349,0.29724148528011823,retinopathy
atrial_fibrillation,0.007672257274352996,1.0077017644541482,0.13742691969024415,-0.26167955582480396,0.27702407037350996,0.7697576485455081,1.3191981242443858,0.0,0.055827906873311406,0.9554789031374662,0.0657040758708877,retinopathy
sleep_apnea,-0.01137374099511774,0.9886906954710657,0.11095952488744956,-0.22885041351619467,0.2061029315259592,0.7954475128025165,1.2288796879471078,0.0,-0.10250351203877771,0.9183570253310002,0.12287296244743538,retinopathy
nafld,-0.06208912936903488,0.9397991193555474,0.08929550750353653,-0.23710510805719262,0.11292684931912286,0.7889083630343026,1.1195500341058737,0.0,-0.6953219832092432,0.48685354059733277,1.0384402610452415,retinopathy
pvd,-0.025109099096676468,0.9752035124021079,0.1528872464494135,-0.3247625958330262,0.27454439763967325,0.7226989050092784,1.3159309970024078,0.0,-0.16423279037198454,0.8695478885761349,0.20166261168118949,retinopathy
stroke,-0.13082539530390175,0.8773709541065128,0.1575928952009806,-0.4397017941172189,0.17805100350941538,0.6442285051715128,1.1948862630734327,0.0,-0.8301478003628154,0.4064552240878243,1.2988316639755895,retinopathy
mi,-0.07579788444949115,0.9270035494590104,0.15066995266002925,-0.3711055652155034,0.21950979631652112,0.6899711007661862,1.2454660488755909,0.0,-0.503072332016464,0.6149134184620231,0.7015448056532928,retinopathy
drug_class_num,-0.0019302362739567595,0.9980716254340418,0.047625758300880144,-0.09527500728009136,0.09141453473217784,0.9091228846752673,1.095723126420217,0.0,-0.040529250196129435,0.9676711879093326,0.0474111880478651,depression
age_at_index,-0.00043672196088426364,0.9995633733882704,0.0028225314221973726,-0.005968781893623732,0.005095337971855204,0.9940489958968521,1.0051083412824187,0.0,-0.1547270501400727,0.8770365038721487,0.18929120334697583,depression
cci,-0.01923750798487067,0.9809463519816771,0.04033682401713131,-0.0982962303091783,0.05982121433943696,0.9063803666452248,1.061646722366402,0.0,-0.47692173227868345,0.6334178560681833,0.6587705573319402,depression
hypertension,0.09785640668442593,1.102804418395712,0.07567186283887703,-0.05045771912282794,0.2461705324916798,0.9507941282322363,1.2791176860697302,0.0,1.293167671751189,0.19595307412337776,2.351419888684859,depression
obesity,0.03626347708773945,1.036929017539921,0.08092448007358909,-0.12234558932412443,0.1948725434996033,0.8848425235276294,1.21515609707554,0.0,0.4481150457162415,0.6540701700551699,0.612482675432937,depression
ckd,-0.09454139188601635,0.9097900759195316,0.10605482964157449,-0.3024050383700333,0.11332225459800063,0.739038665243091,1.1199927976290753,0.0,-0.8914388171244134,0.3726938010255728,1.4239372718067551,depression
heart_failure,0.06878315560208573,1.0712038993971142,0.12208073557727472,-0.17049068933553038,0.30805700053970186,0.8432509408186372,1.360778551838435,0.0,0.5634235022981765,0.5731465371628408,0.803024052920383,depression
hyperlipidemia,0.1131872864476272,1.119841644473408,0.07740539553316463,-0.038524501006453035,0.2648990739017074,0.9622081293834215,1.3032994322137907,0.0,1.462266107782263,0.14366830222464158,2.799186302178496,depression
neuropathy,-0.015011433273023617,0.985100676613685,0.09367740566621481,-0.19861577454395304,0.1685929079979058,0.8198648457669414,1.1836381911910845,0.0,-0.16024603976023175,0.8726872634794401,0.19646335312977034,depression
retinopathy,0.040208583483738174,1.0410278927724692,0.10852393559860596,-0.17249442175007376,0.2529115887175501,0.841562983247329,1.2877694184557364,0.0,0.37050428794304313,0.7110067822156698,0.49206477326736164,depression
atrial_fibrillation,-0.07288133210671764,0.9297111503434958,0.13808992603156334,-0.3435326137563819,0.19776994954294658,0.7092603491229762,1.2186820032190429,0.0,-0.5277816724303197,0.597650879159449,0.7426251221510094,depression
sleep_apnea,-0.11874503038532701,0.8880341936352394,0.11363494414993519,-0.3414654283044205,0.10397536753376647,0.7107280382685102,1.1095731230564712,0.0,-1.0449693206048425,0.2960371491103505,1.7561498667548234,depression
nafld,-0.0844763260108874,0.9189934113593203,0.08905018026716353,-0.25901147215132736,0.09005882012955253,0.771814168623975,1.0942386450711843,0.0,-0.9486373386044374,0.34280509369394524,1.5445395484696274,depression
pvd,-0.0838708187688813,0.9195500370286844,0.1569393540035517,-0.39146630037282454,0.22372466283506193,0.676064833243639,1.2507266004985784,0.0,-0.5344154708766242,0.5930541176188129,0.7537643347064685,depression
stroke,-0.0014480052174586395,0.9985530426362693,0.15516030315743917,-0.30555661123635586,0.3026606008014386,0.7367131974040109,1.3534550249292476,0.0,-0.009332317532206463,0.9925539960061163,0.01078250633323025,depression
